1.00,1.35,2.00,2.00,0.75,2.00,-0.37,-0.07,0.60,0.51,-0.65,0.52,1.18,0.34,0.26,0.19,0.17,0.23,4.37,5.95,1.82,1.14,8.55,1.15
2.00,1.19,0.94,1.28,0.94,1.19,0.63,-0.23,-0.46,-0.21,-0.46,-0.29,0.32,0.18,0.10,0.13,0.51,0.23,1.62,7.93,9.30,8.48,12.55,8.34
0.08,1.41,1.28,1.53,2.00,2.00,-1.30,-0.01,-0.12,0.05,0.61,0.52,1.04,0.09,0.12,0.22,0.30,0.23,14.82,4.76,8.44,6.91,2.42,2.07
1.03,0.75,0.09,1.41,1.19,0.47,-0.35,-0.67,-1.31,-0.08,-0.21,-1.01,0.38,1.68,1.15,0.31,0.54,0.78,6.77,17.57,24.45,6.34,10.84,20.80
1.28,1.50,1.50,1.50,2.00,1.46,-0.10,0.08,0.10,0.01,0.61,-0.02,0.12,0.40,0.23,0.24,0.30,0.20,4.20,8.10,6.64,6.72,2.42,5.92
1.35,1.50,0.70,0.31,1.19,0.59,-0.02,0.08,-0.70,-1.17,-0.21,-0.89,0.29,0.08,0.55,0.70,0.12,0.55,5.67,5.28,18.42,23.81,7.47,15.66
2.00,1.50,1.53,1.53,1.01,2.00,0.63,0.08,0.13,0.05,-0.38,0.52,0.32,0.40,0.08,0.05,0.40,0.23,1.94,8.10,5.52,5.19,9.69,1.61
1.35,0.78,1.41,1.53,1.35,2.00,-0.02,-0.64,0.01,0.05,-0.04,0.52,0.10,0.33,0.09,0.05,0.07,0.23,4.52,14.00,4.74,5.19,4.34,1.61
1.35,2.00,2.00,2.00,1.46,1.50,-0.02,0.58,0.60,0.51,0.06,0.02,0.29,0.26,0.26,0.19,0.07,0.09,5.67,2.38,2.60,1.71,4.94,5.32
1.35,0.70,1.53,1.53,1.41,1.50,-0.02,-0.72,0.13,0.05,0.01,0.02,0.10,0.41,0.22,0.05,0.07,0.09,4.52,13.65,6.90,5.19,4.64,5.32
1.35,1.24,1.28,1.53,1.19,0.78,-0.02,-0.18,-0.12,0.05,-0.21,-0.70,0.10,0.15,0.12,0.05,0.12,0.18,4.52,8.19,8.44,5.19,7.47,12.65
1.35,2.00,1.53,2.00,2.00,2.00,-0.02,0.58,0.13,0.51,0.61,0.52,0.10,0.26,0.08,0.19,0.30,0.23,4.52,2.11,5.52,1.90,2.42,1.84
